Año;SemanaAño;IdCaptura;Rectangulo;RE;HKE;JAX;LEZ;MAC;OTROS;SQI;WHB
2018;1;37757;1,60E+08;'16E7';5,77;0;0;0;0;3,46;90,76
2018;1;37848;1,50E+01;'15E0';45,45;0;27,27;0;27,27;0;0
2018;1;37850;1,60E+05;'16E4';8,6;0;0;0;57,02;34,38;0
2018;1;37851;1,60E+05;'16E4';20,3;0;20,3;0;49,24;10,15;0
2018;1;37884;1,60E+05;'16E4';0;12,43;1,78;0;68,92;8,88;7,99
2018;1;37901;1,50E+01;'15E0';47,9;0;3,36;0;48,74;0;0
2018;1;38070;1,60E+04;'16E3';14,48;2,13;0;0;2,29;0;81,09
2018;1;38371;1,60E+08;'16E7';31,74;0;17,26;0;51;0;0
2018;1;38372;1,50E+08;'15E7';0;0;0;0;100;0;0
2018;1;38433;1,60E+05;'16E4';0;0;0;0;100;0;0
2018;1;38434;1,60E+05;'16E4';100;0;0;0;0;0;0
2018;1;38517;1,60E+07;'16E6';0;0;3,73;0;8,04;9,5;78,74
2018;1;38518;1,50E+01;'15E0';0;0;0;0;100;0;0
2018;1;38531;1,60E+07;'16E6';0;0;5,06;0;0;12,91;82,03
2018;1;38536;1,60E+05;'16E4';3,29;1,57;0;0;0;6,43;88,71
2018;1;38553;1,60E+05;'16E4';7,79;1,51;0;0;5,88;0;84,82
2018;1;38556;1,60E+03;'16E2';32,79;0;8,2;0;59,02;0;0
2018;1;38565;1,60E+03;'16E2';26,02;0;7,2;0;66,78;0;0
2018;1;38580;1,60E+04;'16E3';30,46;0;17,09;0;52,45;0;0
2018;1;38600;1,60E+03;'16E2';10,24;8,19;3,41;0;78,16;0;0
2018;1;38624;1,60E+01;'16E0';21,01;0;0;0;0;0;78,99
2018;1;38625;1,60E+05;'16E4';0;58,33;0;0;0;41,67;0
2018;1;38631;1,60E+06;'16E5';0;0;0;0;100;0;0
2018;1;38646;1,60E+07;'16E6';0;0;6,97;0;42,62;10,25;40,16
2018;1;38649;1,60E+07;'16E6';0;0;7,17;0;71,73;21,1;0
2018;1;38667;1,60E+08;'16E7';24,48;0;0;0;0;12,59;62,94
2018;1;38669;1,60E+08;'16E7';10,96;0;0;0;1,2;7,17;80,68
2018;1;38698;1,50E+08;'15E7';3,21;0;0;0;3,85;9,62;83,33
2018;1;38701;1,60E+06;'16E5';13,43;40,9;0;0;44,31;1,36;0
2018;1;38723;1,60E+05;'16E4';7,95;0;6,27;0;85,78;0;0
2018;1;38746;1,50E+01;'15E0';6,17;0;12,08;0;81,75;0;0
2018;1;38761;1,60E+08;'16E7';5,69;0;0;0;7,52;6,83;79,95
2018;1;38842;1,60E+05;'16E4';4,06;62,73;0;0;30,72;2,49;0
2018;1;38852;1,60E+05;'16E4';23,81;0;0;0;28,57;47,62;0
2018;1;38856;1,60E+05;'16E4';0;0;46,15;0;0;53,85;0
2018;1;38872;1,50E+01;'15E0';0;0;0;0;100;0;0
2018;1;38902;1,50E+01;'15E0';46,15;0;35,9;0;17,95;0;0
2018;1;38911;1,60E+05;'16E4';39,05;0;0;0;60,95;0;0
2018;1;38912;1,60E+05;'16E4';0;0;21,78;0;78,22;0;0
2018;1;38913;1,60E+04;'16E3';18,48;0;0;0;0;0;81,52
2018;1;38929;1,60E+02;'16E1';24,1;0;0;0;0;0;75,9
2018;1;38944;1,60E+04;'16E3';0;0;10,53;0;75,44;14,04;0
2018;1;38951;1,60E+05;'16E4';6,03;0;7,42;0;86,55;0;0
2018;1;38953;1,60E+02;'16E1';13,43;0;0;0;40,3;46,27;0
2018;1;38965;1,60E+05;'16E4';18,6;0;7,12;0;74,28;0;0
2018;1;38979;1,60E+05;'16E4';9,36;1,12;0;0;1,69;2,78;85,05
2018;1;38980;1,50E+08;'15E7';74,25;0;0;0;7,02;0;18,73
2018;1;38986;1,60E+05;'16E4';25,99;0;0;0;0;0;74,01
2018;1;38999;1,60E+05;'16E4';8,92;1,07;0;0;1,07;0;88,93
2018;1;39003;1,50E+01;'15E0';0;0;46,46;0;53,54;0;0
2018;1;39008;1,60E+01;'16E0';0;0;0;0;0;0;100
2018;1;39011;1,60E+01;'16E0';0;0;0;0;0;0;100
2018;1;39014;1,60E+05;'16E4';1,15;1,78;0;0;4,62;0;92,45
2018;1;39017;1,60E+01;'16E0';1,3;0;0;0;0;0;98,7
2018;1;39021;1,50E+01;'15E0';0;0;0;0;0;0;100
2018;1;39023;1,70E+02;'17E1';0;0;0;0;0;0;100
2018;1;39026;1,50E+01;'15E0';0;0;0;0;0;0;100
2018;1;39028;1,60E+03;'16E2';77,78;0;22,22;0;0;0;0
2018;1;39029;1,60E+03;'16E2';0;0;0;0;100;0;0
2018;1;39033;1,60E+04;'16E3';39,44;0;32,39;0;28,17;0;0
2018;1;39037;1,60E+07;'16E6';0;0;5,48;0;6,44;12,89;75,19
2018;1;39038;1,60E+03;'16E2';69,72;0;30,28;0;0;0;0
2018;1;39041;1,60E+02;'16E1';14,68;0;14,07;0;46,79;24,46;0
2018;1;39062;1,60E+02;'16E1';0;0;0;0;0;0;100
2018;1;39063;1,60E+02;'16E1';0;0;0;0;0;0;100
2018;1;39064;1,60E+02;'16E1';100;0;0;0;0;0;0
2018;1;39066;1,60E+02;'16E1';1,64;0;0;0;0;0;98,36
2018;1;39074;1,60E+03;'16E2';27,03;0;21,62;0;51,35;0;0
2018;1;39098;1,50E+08;'15E7';3,74;0;0;0;19,63;2,8;73,83
2018;1;39106;1,60E+07;'16E6';0;0;4,46;0;17,16;14,85;63,53
2018;1;39112;1,60E+08;'16E7';61,25;0;0;0;30;8,75;0
2018;1;39149;1,60E+08;'16E7';36,76;0;0;0;0;4,41;58,82
2018;1;39150;1,60E+08;'16E7';11,88;0;0;0;9,17;11,21;67,74
2018;1;39304;1,70E+08;'17E7';60,79;0;6,82;0;29,28;3,1;0
2018;1;39419;1,60E+08;'16E7';0;0;0;12,83;71,38;6,58;9,21
2018;1;39420;1,60E+08;'16E7';0;0;0;32,79;62,7;2,05;2,46
2018;1;39424;1,60E+08;'16E7';26,55;0;0;69,91;3,54;0;0
2018;1;39626;1,60E+08;'16E7';17,57;0;0;0;4,6;14,23;63,6
2018;1;39639;1,60E+08;'16E7';27,46;0;0;69,38;3,17;0;0
2018;1;39672;1,60E+08;'16E7';7,85;0;0;0;1,35;2,03;88,77
2018;1;39697;1,60E+08;'16E7';14,01;0;0;0;3,82;8,6;73,57
2018;2;40004;1,60E+05;'16E4';7,02;0;0;0;5,47;0;87,51
2018;2;40072;1,60E+06;'16E5';0;0;0;0;100;0;0
2018;2;40305;1,70E+03;'17E2';9,46;0;0;0;0;0;90,54
2018;2;40386;1,60E+04;'16E3';11,55;3,22;0;0;2,48;0;82,76
2018;2;40406;1,60E+06;'16E5';0;91,94;0;0,08;7,98;0;0
2018;2;40542;1,60E+04;'16E3';0;0;0;0;0;20,08;79,92
2018;2;40553;1,50E+08;'15E7';0;0;0;0;100;0;0
2018;2;40554;1,50E+08;'15E7';38,79;0;61,21;0;0;0;0
2018;2;40556;1,50E+01;'15E0';0;0;0;0;0;0;100
2018;2;40572;1,50E+01;'15E0';0;0;0;0;0;0;100
2018;2;40592;1,60E+04;'16E3';4,13;0;0;0;0;0;95,87
2018;2;40629;1,60E+02;'16E1';0;0;0;0;0;0;100
2018;2;40630;1,60E+02;'16E1';1,27;0;0;0;0;0;98,73
2018;2;40646;1,60E+02;'16E1';1,36;0;0;0;0;0;98,64
2018;2;40651;1,60E+03;'16E2';14,54;18,05;5,51;0;61,9;0;0
2018;2;40652;1,70E+03;'17E2';7,14;0;0;0;1,4;0;91,45
2018;2;40659;1,60E+05;'16E4';3,67;0,16;0;0;0,8;0,76;94,6
2018;2;40660;1,60E+02;'16E1';0;0;0;0;0;0;100
2018;2;40679;1,60E+04;'16E3';4,09;12,28;1,64;0;81,99;0;0
2018;2;40680;1,60E+04;'16E3';0;0;0;0;100;0;0
